family,n,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J
er,128,0.3,11,0.75,0.4,-32.242408752441406,3.080204486846924,0.4497804045677185,0.6005250215530396,1.8155755999032408,288000.0,8.996513556799794,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.75,0.6,-43.55463790893555,5.118858814239502,0.4497411549091339,0.6004666686058044,1.7845360999926925,288000.0,8.846513556799795,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,0.75,0.8,-62.77778625488281,9.949198722839355,0.38661396503448486,0.5180166959762573,1.76100860000588,288000.0,8.696513556799806,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.0,-8.67525863647461,5.536909103393555,0.9999999403953552,1.0,1.1248732000822201,384000.0,12.72868474239974,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.1,-11.923702239990234,4.697115898132324,0.9999999403953552,1.0,0.9793937000213191,384000.0,12.628684742399729,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.2,-14.34411334991455,3.5503666400909424,0.9999999403953552,1.0,1.0287587998900563,384000.0,12.528684742399715,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.3,-20.395137786865234,2.9167580604553223,0.9999999403953552,1.0,0.9943212999496609,384000.0,12.42868474239972,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.4,-22.981155395507812,3.767901659011841,0.9999999403953552,1.0,1.0148746001068503,384000.0,12.328684742399728,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.6,-28.943008422851562,3.54560923576355,0.9999999403953552,1.0,0.982004199991934,384000.0,12.128684742399722,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,11,1.0,0.8,-39.783897399902344,4.131758213043213,0.9999999403953552,1.0,0.989246700075455,384000.0,11.928684742399748,-6.364342371199861,1.608728756091488,6.364342371199861
er,128,0.3,12,0.0625,0.0,-77.38371276855469,1.00824773311615,0.0002128389896824956,0.006937500089406967,1.693553699995391,24000.0,1.144694145281376,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.0625,0.1,-77.72168731689453,1.1245533227920532,0.00016944840899668634,0.005508333444595337,1.6700029000639915,24000.0,1.1509441452813804,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.0625,0.2,-78.38465118408203,1.0797865390777588,0.00013277505058795214,0.004737500101327896,1.6676741999108344,24000.0,1.1571941452813872,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.0625,0.3,-78.82661437988281,1.1556793451309204,9.248669812222943e-05,0.0037624998949468136,1.6551421999465674,24000.0,1.1634441452813802,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.0625,0.4,-79.1775894165039,1.0948611497879028,7.266796455951408e-05,0.003120833309367299,1.6696914999047294,24000.0,1.1696941452813798,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.0625,0.6,-78.46263885498047,1.4330902099609375,4.813399937120266e-05,0.002391666639596224,1.685341199976392,24000.0,1.1821941452813756,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.0625,0.8,-78.47563934326172,1.4064282178878784,2.3487313228542916e-05,0.001466666697524488,1.7871056000003591,24000.0,1.194694145281373,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.0,-78.25464630126953,1.079786777496338,0.0009215469472110271,0.013233332894742489,1.7106312999967486,48000.0,1.2893882905627547,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.1,-78.63162994384766,0.6595052480697632,0.000700207136105746,0.01152083370834589,1.6843572000507265,48000.0,1.3018882905627525,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.2,-78.74861907958984,1.0387914180755615,0.0005272876587696373,0.00924583338201046,1.7018646999495104,48000.0,1.3143882905627557,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.3,-78.72261810302734,0.9739795327186584,0.00044734656694345176,0.008024999871850014,1.6631740999873728,48000.0,1.326888290562752,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.4,-78.93061065673828,0.9698060750961304,0.00031081115594133735,0.006641666870564222,1.7045417999615893,48000.0,1.3393882905627543,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.6,-79.3205795288086,1.0637060403823853,0.00019131698354613036,0.0043958332389593124,1.6661260999972,48000.0,1.3643882905627538,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.125,0.8,-78.8136215209961,1.3973898887634277,9.168677206616849e-05,0.003220833372324705,1.6358656999655068,48000.0,1.3893882905627521,-6.2798478605873225,1.6575531622510224,6.2798478605873225
er,128,0.3,12,0.25,0.0,-78.38465118408203,0.609713077545166,0.00396378617733717,0.02905416674911976,1.6796760000288486,96000.0,2.389923930293659,-6.2798478605873225,1.6575531622510224,6.2798478605873225
