family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J
er,0.125,0.8,5,-79.93649749755859,1.0864417879205956,1.2789962768554688,0.5068821252512129,9.82449768343742e-05,4.593621791928124e-06,0.00288083329796788,0.00023313985987868257,1.7050714399898426,48000.0,1.3885872394636314,6.289950965614141
er,0.25,0.0,5,-79.9069107055664,0.9266213079454476,1.3085830688476563,0.41524873446246385,0.00370435453951354,0.00015497385268917487,0.02778666689991944,0.0007340986931092789,1.7319067400181667,96000.0,2.3949754828070686,6.289950965614141
er,0.25,0.1,5,-80.47780303955078,0.7139023981693082,0.7376907348632813,0.2880018199641191,0.00285981395281844,0.00018739479855282466,0.02283666618168352,0.00123595724335024,1.730093519971706,96000.0,2.3699754828070687,6.289950965614141
er,0.25,0.2,5,-80.64786834716797,0.778645704101465,0.5676254272460938,0.11907568580077824,0.00223557981662448,8.336085395703017e-05,0.01889916658401484,0.000520035428240869,1.7295692399842664,96000.0,2.344975482807068,6.289950965614141
er,0.25,0.3,5,-80.77589263916016,0.7245784007762952,0.43960113525390626,0.28717187804070926,0.0016596622532232999,0.00011016985093723282,0.015412500314414459,0.0008721734332379457,1.79520146001596,96000.0,2.3199754828070684,6.289950965614141
er,0.25,0.4,5,-80.87032012939453,0.816738910407151,0.34517364501953124,0.15044497757515132,0.0012840979499742,6.727161468540223e-05,0.012650000303983638,0.0005771397722701765,1.831512019992806,96000.0,2.294975482807068,6.289950965614141
er,0.25,0.6,5,-80.79029693603516,1.0058724321431036,0.42519683837890626,0.35694141058118345,0.00072349557885896,2.8495112402039557e-05,0.0084833333268761,0.00026781987601166493,1.7665664799744263,96000.0,2.244975482807068,6.289950965614141
er,0.25,0.8,5,-80.45161895751953,0.9361420003019837,0.7638748168945313,0.3273157914305441,0.00040505169890817994,1.8182021788875042e-05,0.00568333333358162,0.0002895608186733442,1.7172872200142593,96000.0,2.194975482807068,6.289950965614141
er,0.5,0.0,5,-40.68937759399414,0.680287263358278,40.52611618041992,0.9101216285775682,0.156438872218132,0.0008304553134391245,0.3228650033473969,0.0012126019751788925,1.7907602000050247,192000.0,5.789950965614137,6.289950965614141
er,0.5,0.1,5,-45.642723083496094,1.6236944125272184,35.57277069091797,1.621380401827623,0.15511121749877926,0.0009666350133073383,0.32068666815757746,0.001715117367595989,1.8442068399861455,192000.0,5.739950965614135,6.289950965614141
er,0.5,0.2,5,-53.434400177001955,2.82086926826487,27.78109359741211,2.595961585639251,0.15343280732631678,0.001077796388518391,0.31843249797821044,0.0016797452683594081,1.8251472400035709,192000.0,5.6899509656141385,6.289950965614141
er,0.5,0.3,5,-65.8398536682129,2.83168218085576,15.37564010620117,2.5881137611075253,0.1436429291963577,0.0066382288372640146,0.30023832917213433,0.013241733805513307,1.8117213999852537,192000.0,5.639950965614139,6.289950965614141
er,0.5,0.4,5,-79.41634063720703,2.3380789670614956,1.7991531372070313,1.7851549954375396,0.03966590780764816,0.02906980254135463,0.09486166611313815,0.05802534243610308,1.7793830000329762,192000.0,5.589950965614134,6.289950965614141
er,0.5,0.6,5,-81.15336151123047,0.7778241454107553,0.06213226318359375,0.06957846740062947,0.0032750749960541005,0.0001397346018727499,0.01813333295285696,0.0008082687121939819,1.7812124599935486,192000.0,5.48995096561414,6.289950965614141
er,0.5,0.8,5,-80.9509994506836,0.7195163874606844,0.26449432373046877,0.20337176839291696,0.00174172003753476,7.559107414391741e-05,0.0119141666218638,0.0005323769952823893,1.729675820004195,192000.0,5.38995096561414,6.289950965614141
er,0.75,0.0,5,-21.880907821655274,0.6490868062559518,59.334585952758786,1.0949638851003942,0.4500489056110382,0.00012318423345637937,0.6003558397293091,0.00044025637797969304,1.8794511000160128,288000.0,9.184926448421217,6.289950965614141
