family,n,n_spins,p,instance_seed,q,xi,best_energy_mean,best_energy_std,O_mean,flip_fraction_mean,runtime_s,mean_update_opportunities,spectral_rho_D1_beta_max,lambda_min,lambda_max,spectral_radius_J,n_cities,tsp_feasible_rate,constraint_violation_mean,constraint_violation_std,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories,tsp_A,tsp_B
tsp,10,100,,101,0.75,0.4,-44.13970184326172,0.1324804276227951,0.0460074283182621,0.16021333634853363,1.6861832999857143,225000.0,1.0767992395389494,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,7.12,1.2749901960407382,4.0,,0,4.0,1.0
tsp,10,100,,101,0.75,0.6,-44.19095230102539,0.12166474759578705,0.026846423745155334,0.1191573292016983,1.6424709999701008,225000.0,0.9267992395389493,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,6.48,1.1702991070662236,4.0,,0,4.0,1.0
tsp,10,100,,101,0.75,0.8,-44.255367279052734,0.13367311656475067,0.01468011736869812,0.08602134138345718,1.5068395000416785,225000.0,1.0454414149769806,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,6.0,1.131370849898476,4.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.0,-44.04446792602539,0.11644969135522842,0.44271010160446167,0.5726400017738342,1.1434722000267357,300000.0,2.169065652718607,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,8.56,1.2026637102698328,6.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.1,-44.228477478027344,0.1092977449297905,0.346917986869812,0.4863946735858917,1.3093986000167206,300000.0,2.0690656527185944,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,6.88,1.142628548566856,4.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.2,-44.310733795166016,0.10135047882795334,0.22361382842063904,0.3670293688774109,1.1784364999039099,300000.0,1.9690656527185946,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,6.16,0.9666436778875657,4.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.3,-44.35523986816406,0.09047235548496246,0.13719867169857025,0.2773226499557495,1.0937671000137925,300000.0,1.8690656527185987,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,5.52,1.0244998779892558,4.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.4,-44.34206008911133,0.12298610806465149,0.09679443389177322,0.22886933386325836,1.128225399996154,300000.0,1.7690656527185955,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,5.52,1.0244998779892558,4.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.6,-44.25802230834961,0.11930296570062637,0.05181047320365906,0.16278934478759766,1.1145160000305623,300000.0,1.569065652718598,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,6.24,1.0307278981380101,4.0,,0,4.0,1.0
tsp,10,100,,101,1.0,0.8,-44.288734436035156,0.0904761329293251,0.027340788394212723,0.11510933190584183,1.1567029000725597,300000.0,1.3690656527185965,-1.084532826359299,0.13029427665132065,1.084532826359299,10,0.0,5.68,0.7332121111929345,4.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.0,-43.55862808227539,0.23190918564796448,0.0005761990905739367,0.01905066706240177,1.7382311000255868,18000.0,0.9543035527932447,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,10.48,1.4176036117335482,8.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.1,-43.57322692871094,0.20002451539039612,0.0004890484269708395,0.017109334468841553,1.5622954000718892,18000.0,0.9605535527932457,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,10.4,1.3856406460551018,8.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.2,-43.84272766113281,0.2300727218389511,0.0003946989600080997,0.015429333783686161,1.6286674999864772,18000.0,0.9668035527932478,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,8.48,1.4176036117335482,6.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.3,-43.80296325683594,0.28856122493743896,0.0003308297891635448,0.013589332811534405,1.553767399978824,18000.0,0.9730535527932447,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,8.88,1.7959955456514918,4.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.4,-43.861305236816406,0.1948026418685913,0.00027109216898679733,0.012122666463255882,1.5035284999758005,18000.0,0.9793035527932438,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,8.72,1.3717142559585798,6.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.6,-43.975616455078125,0.16496305167675018,0.00015525119670201093,0.009338665753602982,1.6367430000100285,18000.0,0.9918035527932451,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,7.84,1.2547509713086498,4.0,,0,4.0,1.0
tsp,10,100,,102,0.0625,0.8,-44.03163146972656,0.1443992704153061,9.412767394678667e-05,0.006773332599550486,1.580135399941355,18000.0,1.0043035527932456,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,7.68,1.4620533505997653,4.0,,0,4.0,1.0
tsp,10,100,,102,0.125,0.0,-43.548187255859375,0.21755631268024445,0.002338146325200796,0.03843199834227562,1.7203911000397056,36000.0,0.9086071055864893,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,10.64,1.5717506163510802,8.0,,0,4.0,1.0
tsp,10,100,,102,0.125,0.1,-43.72517395019531,0.19227531552314758,0.0020074585918337107,0.03487466648221016,1.5982017000205815,36000.0,0.9211071055864898,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,9.36,1.5717506163510802,6.0,,0,4.0,1.0
tsp,10,100,,102,0.125,0.2,-43.859676361083984,0.17275500297546387,0.0016245560254901648,0.031215999275445938,1.6582124000415206,36000.0,0.9336071055864905,-1.0840483088702406,0.1344284223459554,1.0840483088702406,10,0.0,9.2,1.7888543819998315,6.0,,0,4.0,1.0
