family,q,xi,n_instances,best_energy_mean,best_energy_across_seed_std,energy_gap_to_seed_best_mean,energy_gap_to_seed_best_std,O_mean,O_across_seed_std,flip_fraction_mean,flip_fraction_across_seed_std,runtime_s_mean,mean_update_opportunities,spectral_rho_D1_beta_max,spectral_radius_J,tsp_feasible_rate,constraint_violation_mean,constraint_violation_min,best_route_distance_mean,n_feasible_trajectories
tsp,0.5,0.8,5,-44.23297653198242,0.06527162910605405,0.12549667358398153,0.04654448616409332,0.00615011388435954,9.673108278196696e-05,0.05653760060667991,0.000527896787704088,1.5537739400053396,150000.0,1.0340248293937224,1.084194387392303,0.0,6.192,3.6,,0
tsp,0.75,0.0,5,-44.13254928588867,0.040694883353981234,0.22592391967773295,0.022074137329619423,0.10423412322998042,0.00028189557936207106,0.25712426304817193,0.001558605469769085,1.5942657599924133,225000.0,1.376291581088456,1.084194387392303,0.0,7.359999999999999,4.8,,0
tsp,0.75,0.1,5,-44.154379272460936,0.025688067521830147,0.20409393310546875,0.031302600137125755,0.0876601859927177,0.00017441830182865262,0.23113174438476558,0.0009336048211490149,1.6325345800025388,225000.0,1.3012915810884564,1.084194387392303,0.0,7.231999999999999,4.8,,0
tsp,0.75,0.2,5,-44.168443298339845,0.05490068965081293,0.19002990722656393,0.036715486429328564,0.0721497610211372,0.00021505116917642833,0.20666561722755433,0.0014126993260795131,1.5870642600115388,225000.0,1.2262915810884552,1.084194387392303,0.0,6.976000000000001,4.4,,0
tsp,0.75,0.3,5,-44.16158676147462,0.04400049576096874,0.19688644409179262,0.023064414834423987,0.0579993516206741,0.00016392175180121734,0.18244587779045102,0.001547065798058839,1.6384916000068188,225000.0,1.1512915810884556,1.084194387392303,0.0,7.087999999999999,4.0,,0
tsp,0.75,0.4,5,-44.194506072998045,0.03563902164035587,0.16396713256835938,0.04293063480517911,0.04564013406634326,0.0002373710536693747,0.15921920537948606,0.0012983407660596869,1.6123675599694252,225000.0,1.0762915810884557,1.084194387392303,0.0,6.720000000000001,4.4,,0
tsp,0.75,0.6,5,-44.22969055175781,0.02776542440002633,0.12878265380859374,0.039790901704323194,0.02661889679729934,0.00016700398405454335,0.11881173551082606,0.0006534501087690032,1.6616567200049759,225000.0,0.9262915810884567,1.084194387392303,0.0,6.4319999999999995,3.6,,0
tsp,0.75,0.8,5,-44.284342193603514,0.030186869038080637,0.07413101196289062,0.03590099747896821,0.01457501426339144,0.00010560965015014856,0.08574080616235727,0.0005075157109763404,1.5774811000097544,225000.0,1.0510372440905846,1.084194387392303,0.0,5.904,4.0,,0
tsp,1.0,0.0,5,-44.09182357788086,0.05949933947211038,0.26664962768554545,0.027811927106610745,0.4429872930049896,0.0016784495267054764,0.5722304105758667,0.000870049153320278,1.142631520004943,300000.0,2.1683887747846096,1.084194387392303,0.0,8.464,6.0,,0
tsp,1.0,0.1,5,-44.235357666015624,0.04990189740427793,0.12311553955078125,0.0045197200641423916,0.34832094311714173,0.002884470862924407,0.48591253757476804,0.002050034644881565,1.192036100034602,300000.0,2.068388774784607,1.084194387392303,0.0,7.151999999999999,5.2,,0
tsp,1.0,0.2,5,-44.33145370483398,0.059848174775822355,0.027019500732423297,0.016333865303928812,0.2259448230266571,0.0027105797741989917,0.36914560198783875,0.0025808256911937096,1.1575952999992296,300000.0,1.9683887747846076,1.084194387392303,0.0,6.16,4.0,,0
tsp,1.0,0.3,5,-44.34094772338867,0.04667568834022295,0.017525482177734374,0.014495182373354135,0.1386384010314941,0.000886706913727758,0.27882453203201296,0.001349250094947042,1.1496688599698246,300000.0,1.868388774784607,1.084194387392303,0.0,5.968,3.6,,0
tsp,1.0,0.4,5,-44.33370819091797,0.052363917483143334,0.0247650146484375,0.029952147987088805,0.0970027148723602,0.00046161672837959723,0.22959573864936828,0.0007496783395739026,1.1202331599779427,300000.0,1.7683887747846054,1.084194387392303,0.0,5.888,4.0,,0
tsp,1.0,0.6,5,-44.3046516418457,0.041142660468882424,0.05382156372070455,0.049702724780098434,0.05209150761365884,0.00021470819275905343,0.16371839940547941,0.0006270566892480895,1.107958839996718,300000.0,1.5683887747846068,1.084194387392303,0.0,6.0,3.6,,0
